CPU,Price (Euros)
Intel Core i5 6200U 2.3GHz,"1199,00"
Intel Core i7 7500U 2.7GHz,"1090,00"
Intel Core i7 6500U 2.5GHz,"1713,49"
Intel Core i5 6200U 2.3GHz,"659,00"
Intel Core i5 6300HQ 2.3GHz,"977,00"
Intel Core i7 7700HQ 2.8GHz,"2499,00"
Intel Core i5 6200U 2.3GHz,"540,00"
Intel Core i5 6200U 2.3GHz,"940,00"
Intel Core M 6Y75 1.2GHz,"1399,00"
Intel Core i7 6820HK 2.7GHz,"3240,00"
Intel Atom x5-Z8550 1.44GHz,"646,27"
Intel Core i7 7500U 2.7GHz,"2049,00"
Intel Core i5 7200U 2.5GHz,"750,00"
Intel Core i5 6200U 2.3GHz,"1030,99"
Intel Core i7 6500U 2.5GHz,"1495,00"
Intel Core i5 6200U 2.3GHz,"1199,00"
Intel Pentium Dual Core 4405Y 1.5GHz,"615,00"
AMD A8-Series 7410 2.2GHz,"387,00"
Intel Pentium Quad Core N3700 1.6GHz,"393,49"
Intel Core i3 6006U 2GHz,"345,99"
Intel Core i7 7700HQ 2.8GHz,"1599,00"
Intel Core i5 8250U 1.6GHz,"818,35"
Intel Core i5 6200U 2.3GHz,"1599,00"
Intel Core i5 7200U 2.5GHz,"799,00"
Intel Core i5 7200U 2.5GHz,"638,80"
Intel Core i7 6700HQ 2.6GHz,"1599,00"
Intel Pentium Quad Core N3710 1.6GHz,"500,00"
Intel Core i7 6700HQ 2.6GHz,"2299,00"
Intel Core i3 6100U 2.3GHz,"1135,15"
Intel Core i3 6100U 2.3GHz,"1166,97"
Intel Celeron Dual Core 3205U 1.5GHz,"209,00"
Intel Core i7 6700HQ 2.6GHz,"2899,00"
Intel Core i7 7700HQ 2.8GHz,"1199,00"
Intel Core i5 6200U 2.3GHz,"1413,10"
Intel Core i7 6700HQ 2.6GHz,"1511,19"
Intel Core i5 6200U 2.3GHz,"867,00"
AMD A6-Series 9220 2.5GHz,"398,00"
Intel Core i7 6700HQ 2.6GHz,"1339,00"
Intel Core M 6Y54 1.1GHz,"1699,00"
Intel Core i5 6200U 2.3GHz,"769,15"
Intel Core i3 6006U 2.0GHz,"429,00"
Intel Core i7 6500U 2.5GHz,"1969,00"
Intel Atom x5-Z8550 1.44GHz,"549,00"
Intel Core i7 7560U 2.4GHz,"1379,00"
Intel Core i7 6820HK 2.7GHz,"2749,99"
Intel Core i7 6500U 2.5GHz,"1029,00"
Intel Core i7 7500U 2.7GHz,"2226,00"
Intel Core i7 6700HQ 2.6GHz,"1312,49"
Intel Atom X5-Z8350 1.44GHz,"196,00"
Intel Core i5 6200U 2.3GHz,"1690,00"
Intel Core i5 6200U 2.3GHz,"1513,00"
Intel Core i5 6200U 2.3GHz,"523,63"
Intel Core i3 7100U 2.4GHz,"435,00"
Intel Core i7 6500U 2.5GHz,"1669,00"
Intel Atom x5-Z8550 1.44GHz,"479,00"
Intel Core i5 6300U 2.4GHz,"1895,00"
Intel Core i5 7300HQ 2.5GHz,"989,00"
Intel Core i5 6300HQ 2.3GHz,"1129,00"
Intel Core i7 7500U 2.7GHz,"629,00"
Intel Core i7 6600U 2.6GHz,"2050,38"
Intel Celeron Dual Core N3350 1.1GHz,"278,00"
Intel Core i7 7500U 2.7GHz,"752,00"
Intel Core i5 7200U 2.5GHz,"616,00"
Intel Core i7 6500U 2.5GHz,"1099,00"
Intel Core i7 6700HQ 2.6GHz,"3949,40"
Intel Core i5 7200U 2.5GHz,"784,00"
Intel Core i7 6820HQ 2.7GHz,"2399,00"
Intel Core i7 6500U 2.5GHz,"2171,72"
Intel Core i7 6600U 2.6GHz,"2440,00"
Intel Core i7 7700HQ 2.8GHz,"1142,80"
Intel Core i5 6300U 2.4GHz,"1629,00"
Intel Core i7 6700HQ 2.6GHz,"2229,00"
Intel Core i7 6600U 2.6GHz,"1799,00"
Intel Core i7 6700HQ 2.6GHz,"1899,00"
Intel Core i7 6500U 2.50GHz,"2296,95"
Intel Core i7 7500U 2.7GHz,"1009,90"
Intel Core i5 6200U 2.3GHz,"1579,00"
Intel Core i7 6500U 2.5GHz,"2339,00"
Intel Core i3 6006U 2.0GHz,"339,00"
AMD E-Series 7110 1.8GHz,"297,00"
Intel Core i5 6200U 2.3GHz,"599,00"
Intel Core i7 7700HQ 2.8GHz,"1199,00"
Intel Core i5 6300HQ 2.3GHz,"2250,68"
AMD A6-Series A6-9220 2.5GHz,"478,89"
Intel Core i7 7700HQ 2.8GHz,"1492,80"
Intel Core i7 6600U 2.6GHz,"2299,00"
Intel Core i5 6200U 2.3GHz,"788,49"
Intel Core i7 6600U 2.6GHz,"2041,00"
Intel Core i7 6600U 2.6GHz,"1499,00"
Intel Core i7 6700HQ 2.6GHz,"1769,00"
Intel Core i7 7700HQ 2.8GHz,"899,00"
Intel Core i3 6006U 2.0GHz,"459,00"
Intel Core i5 6200U 2.3GHz,"476,99"
Intel Core i7 7700HQ 2.8GHz,"1498,00"
Intel Core i5 7200U 2.5GHz,"1390,00"
Intel Core i3 6006U 2GHz,"468,00"
Intel Celeron Dual Core N3060 1.6GHz,"249,00"
Intel Core i7 7500U 2.7GHz,"839,00"
Intel Core i7 6500U 2.5GHz,"679,00"
Intel Core i7 8550U 1.8GHz,"1159,00"
Intel Celeron Dual Core N3050 1.6GHz,"369,00"
Intel Core i5 6200U 2.3GHz,"398,00"
Intel Core i7 7500U 2.7GHz,"709,00"
Intel Core i3 7100U 2.4GHz,"769,00"
Intel Core i7 6500U 2.5GHz,"825,00"
Intel Core i7 6700HQ 2.6GHz,"1305,00"
Intel Core i7 6700HQ 2.6GHz,"2153,37"
Intel Core i3 6100U 2.3GHz,"650,00"
Intel Core i5 6200U 2.3GHz,"1637,00"
Intel Core i7 7500U 2.7GHz,"831,00"
Intel Core i7 7500U 2.7GHz,"895,01"
Intel Celeron Dual Core N3350 2GHz,"333,00"
Intel Core i7 6700HQ 2.6GHz,"799,00"
Intel Core i7 6700HQ 2.6GHz,"909,00"
Intel Core i7 7500U 2.7GHz,"1179,00"
Intel Core i5 7200U 2.5GHz,"691,00"
Intel Core i5 6300U 2.4GHz,"1099,00"
Intel Core i7 7700HQ 2.8GHz,"2599,00"
Intel Core i5 7300HQ 2.5GHz,"819,00"
Samsung Cortex A72&A53 2.0GHz,"659,00"
Intel Core i5 7200U 2.5GHz,"485,00"
Intel Core M 1.1GHz,"1163,00"
Intel Core i5 7200U 2.5GHz,"1199,00"
Intel Core i7 7700HQ 2.8GHz,"1327,00"
Intel Core i3 6006U 2GHz,"368,00"
Intel Core i7 6700HQ 2.6GHz,"2150,00"
Intel Celeron Dual Core N3350 2GHz,"272,00"
Intel Core i7 7700HQ 2.8GHz,"2048,90"
Intel Core i3 6006U 2.0GHz,"499,00"
Intel Core i7 6500U 2.5GHz,"629,00"
Intel Core i7 8550U 1.8GHz,"1285,00"
Intel Core i7 7500U 2.7GHz,"2680,00"
Intel Core i7 6700HQ 2.6GHz,"1169,00"
Intel Core i5 7200U 2.5GHz,"889,00"
Intel Core i5 7200U 2.5GHz,"579,00"
AMD E-Series 9000 2.2GHz,"299,00"
Intel Core i3 6006U 2.0GHz,"629,00"
Intel Core i7 7700HQ 2.8GHz,"2449,00"
Intel Core M 1.2GHz,"1279,00"
Intel Core i7 7700HQ 2.8GHz,"1749,00"
Intel Core i7 6700HQ 2.6GHz,"1948,99"
Intel Core i5 7200U 2.5GHz,"999,00"
Intel Core i7 7700HQ 2.8GHz,"1949,00"
Intel Celeron Dual Core 3205U 1.5GHz,"174,00"
Intel Core i3 6006U 2GHz,"598,00"
Intel Core i5 7200U 2.5GHz,"539,00"
Intel Core i7 6700HQ 2.6GHz,"1272,00"
Intel Core i7 7Y75 1.3GHz,"1149,00"
Intel Core i7 6600U 2.6GHz,"1529,00"
Intel Core i7 6700HQ 2.6GHz,"1476,11"
AMD A12-Series 9720P 2.7GHz,"529,00"
Intel Core i5 6300U 2.4GHz,"1713,37"
Intel Core i3 7100U 2.4GHz,"509,00"
Intel Pentium Quad Core N3710 1.6GHz,"309,00"
Intel Core i7 7500U 2.7GHz,"1477,00"
Intel Core i5 7200U 2.5GHz,"521,86"
Intel Core i7 6700HQ 2.6GHz,"1029,00"
Intel Core i7 7700HQ 2.8GHz,"1149,00"
Intel Core i7 6500U 2.50GHz,"1650,00"
Intel Core i7 7700HQ 2.8GHz,"3499,00"
Intel Core i3 7100U 2.4GHz,"469,01"
Intel Core i7 7700HQ 2.8GHz,"1598,00"
Intel Core i5 1.6GHz,"959,00"
Intel Core i3 6006U 2GHz,"478,00"
Intel Core i7 6500U 2.5GHz,"2198,19"
Intel Core i5 6200U 2.3GHz,"737,00"
Intel Core i7 6700HQ 2.6GHz,"1169,00"
Intel Core i7 7500U 2.7GHz,"1499,00"
AMD A12-Series 9720P 3.6GHz,"597,57"
Intel Core i7 6500U 2.5GHz,"1280,00"
Intel Core i3 6006U 2.0GHz,"361,80"
Intel Core i7 7500U 2.7GHz,"1799,00"
Intel Core i5 6200U 2.3GHz,"1099,99"
Intel Core i7 7700HQ 2.8GHz,"1600,00"
Intel Core i5 7200U 2.5GHz,"875,00"
Intel Core i7 6700HQ 2.6GHz,"2325,00"
Intel Core i5 7200U 2.5GHz,"573,00"
Intel Core i5 7Y54 1.2GHz,"1813,00"
Intel Pentium Quad Core N3710 1.6GHz,"324,00"
AMD A6-Series 9220 2.5GHz,"399,00"
Intel Core i3 6100U 2.3GHz,"569,00"
Intel Core i5 6200U 2.3GHz,"1072,00"
Intel Pentium Quad Core N3700 1.6GHz,"443,99"
Intel Celeron Dual Core N3350 1.1GHz,"339,00"
Intel Core i7 6700HQ 2.6GHz,"1900,00"
Intel Core i3 6006U 2GHz,"490,00"
Intel Core i7 6500U 2.5GHz,"895,00"
Intel Core i7 6700HQ 2.6GHz,"1229,00"
Intel Core i5 6200U 2.3GHz,"833,01"
Intel Core M 6Y30 0.9GHz,"729,00"
Intel Core i3 7100U 2.4GHz,"459,00"
Intel Celeron Dual Core N3060 1.6GHz,"289,00"
Intel Celeron Dual Core N3050 1.6GHz,"379,00"
Intel Core i7 6700HQ 2.6GHz,"899,00"
AMD A9-Series 9410 2.9GHz,"549,99"
Intel Core i7 7500U 2.7GHz,"805,99"
Intel Celeron Dual Core N3060 1.6GHz,"209,00"
Intel Core i7 6500U 2.5GHz,"720,32"
Intel Core i7 6500U 2.5GHz,"638,00"
Intel Core i7 6500U 2.5GHz,"1499,00"
Intel Celeron Dual Core N3050 1.6GHz,"229,00"
Intel Core i7 6500U 2.5GHz,"764,00"
Intel Celeron Dual Core N3050 1.6GHz,"369,00"
Intel Core M 6Y30 0.9GHz,"729,00"
Intel Core i3 7100U 2.4GHz,"459,00"
Intel Celeron Dual Core N3060 1.6GHz,"289,00"
Intel Celeron Dual Core N3050 1.6GHz,"379,00"
Intel Core i7 6700HQ 2.6GHz,"899,00"
AMD A9-Series 9410 2.9GHz,"549,99"
Intel Core i7 7500U 2.7GHz,"805,99"
Intel Celeron Dual Core N3060 1.6GHz,"209,00"
Intel Core i7 6500U 2.5GHz,"720,32"
Intel Core i7 6500U 2.5GHz,"638,00"
Intel Core i7 6500U 2.5GHz,"1499,00"
Intel Celeron Dual Core N3050 1.6GHz,"229,00"
Intel Core i7 6500U 2.5GHz,"764,00"
Intel Celeron Dual Core N3050 1.6GHz,"369,00"
Intel Core M 6Y30 0.9GHz,"729,00"
Intel Core i3 7100U 2.4GHz,"459,00"
Intel Celeron Dual Core N3060 1.6GHz,"289,00"
Intel Celeron Dual Core N3050 1.6GHz,"379,00"
Intel Core i7 6700HQ 2.6GHz,"899,00"
AMD A9-Series 9410 2.9GHz,"549,99"
Intel Core i7 7500U 2.7GHz,"805,99"
Intel Celeron Dual Core N3060 1.6GHz,"209,00"
Intel Core i7 6500U 2.5GHz,"720,32"
Intel Core i7 6500U 2.5GHz,"638,00"
Intel Core i7 6500U 2.5GHz,"1499,00"
Intel Celeron Dual Core N3050 1.6GHz,"229,00"
Intel Core i7 6500U 2.5GHz,"764,00"
Intel Celeron Dual Core N3050 1.6GHz,"369,00"
